n,idx,distribution,travel,serv,obj,iters,time,alg,cost_profile,scaling
15,0,0,0,0,1299.758,10000.0,14.331,dotsp,"(1, 2.5, 10)",0.4
15,0,0,0,1,2270.869,10000.0,14.302,dotsp,"(1, 2.5, 10)",0.4
15,1,0,0,0,1246.862,10000.0,13.963,dotsp,"(1, 2.5, 10)",0.4
15,1,0,0,1,2229.008,10000.0,13.703,dotsp,"(1, 2.5, 10)",0.4
15,10,0,0,0,1264.015,10000.0,11.177,dotsp,"(1, 2.5, 10)",0.4
15,10,0,0,1,2262.041,10000.0,10.779,dotsp,"(1, 2.5, 10)",0.4
15,11,0,0,0,1267.611,10000.0,8.204,dotsp,"(1, 2.5, 10)",0.4
15,11,0,0,1,2260.464,10000.0,8.17,dotsp,"(1, 2.5, 10)",0.4
15,12,0,0,0,1243.259,10000.0,15.649,dotsp,"(1, 2.5, 10)",0.4
15,12,0,0,1,2148.267,10000.0,15.298,dotsp,"(1, 2.5, 10)",0.4
15,13,0,0,0,1282.928,10000.0,12.081,dotsp,"(1, 2.5, 10)",0.4
15,13,0,0,1,2246.603,10000.0,12.256,dotsp,"(1, 2.5, 10)",0.4
15,14,0,0,0,1327.929,10000.0,12.819,dotsp,"(1, 2.5, 10)",0.4
15,14,0,0,1,2389.95,10000.0,12.553,dotsp,"(1, 2.5, 10)",0.4
15,15,0,0,0,1280.315,10000.0,18.173,dotsp,"(1, 2.5, 10)",0.4
15,15,0,0,1,2277.51,10000.0,17.906,dotsp,"(1, 2.5, 10)",0.4
15,16,0,0,0,1266.659,10000.0,11.924,dotsp,"(1, 2.5, 10)",0.4
15,16,0,0,1,2224.26,10000.0,11.984,dotsp,"(1, 2.5, 10)",0.4
15,17,0,0,0,1169.499,10000.0,18.542,dotsp,"(1, 2.5, 10)",0.4
15,17,0,0,1,2009.463,10000.0,17.666,dotsp,"(1, 2.5, 10)",0.4
15,18,0,0,0,1381.129,10000.0,10.341,dotsp,"(1, 2.5, 10)",0.4
15,18,0,0,1,2435.332,10000.0,10.759,dotsp,"(1, 2.5, 10)",0.4
15,19,0,0,0,1376.042,10000.0,11.995,dotsp,"(1, 2.5, 10)",0.4
15,19,0,0,1,2391.004,10000.0,11.616,dotsp,"(1, 2.5, 10)",0.4
15,2,0,0,0,1157.807,10000.0,11.023,dotsp,"(1, 2.5, 10)",0.4
15,2,0,0,1,2040.041,10000.0,10.929,dotsp,"(1, 2.5, 10)",0.4
15,3,0,0,0,1151.935,10000.0,16.438,dotsp,"(1, 2.5, 10)",0.4
15,3,0,0,1,2031.016,10000.0,15.622,dotsp,"(1, 2.5, 10)",0.4
15,4,0,0,0,1488.407,10000.0,10.408,dotsp,"(1, 2.5, 10)",0.4
15,4,0,0,1,2685.715,10000.0,10.256,dotsp,"(1, 2.5, 10)",0.4
15,5,0,0,0,1302.248,10000.0,15.292,dotsp,"(1, 2.5, 10)",0.4
15,5,0,0,1,2289.611,10000.0,15.065,dotsp,"(1, 2.5, 10)",0.4
15,6,0,0,0,1311.637,10000.0,12.468,dotsp,"(1, 2.5, 10)",0.4
15,6,0,0,1,2305.813,10000.0,11.811,dotsp,"(1, 2.5, 10)",0.4
15,7,0,0,0,1373.103,10000.0,14.632,dotsp,"(1, 2.5, 10)",0.4
15,7,0,0,1,2422.225,10000.0,14.293,dotsp,"(1, 2.5, 10)",0.4
15,8,0,0,0,1142.804,10000.0,15.036,dotsp,"(1, 2.5, 10)",0.4
15,8,0,0,1,1985.829,10000.0,14.749,dotsp,"(1, 2.5, 10)",0.4
15,9,0,0,0,1439.596,10000.0,12.599,dotsp,"(1, 2.5, 10)",0.4
15,9,0,0,1,2499.334,10000.0,13.317,dotsp,"(1, 2.5, 10)",0.4
15,0,0,0,0,1122.689,613.0,228.935,lns,"(1, 2.5, 10)",0.1
15,0,0,0,1,1906.12,766.0,227.743,lns,"(1, 2.5, 10)",0.1
15,1,0,0,0,1160.54,585.0,228.875,lns,"(1, 2.5, 10)",0.1
